"Customer","Total","InvoiceCount"
"Keep Supply","78431.75","88"
"CP&R - Concrete Protection & Restoration","76052.9","3"
"Evapco - Lake View","74576.04","3"
"JOHNSON CONTROLS FIRE PROTECTION","59946.59","18"
"Republic Refrigeration - Monroe","57767.04","17"
"Cimco Refrigeration - CANADA - Burlington","40596.5","42"
"Cimco Refrigeration - US - Mobile","40448.3","34"
"D&H Refrigeration","37390.91","20"
"Wagner-Meinert - Fort Wayne","36944.7","62"
"AC&R Specialists","36764.76","74"
"Clauger USA LLC","34107.03","25"
"Coca-Cola Bottling Co United - College Park","33437.93","4"
"Modern Mechanical Ice Systems LLC","30648.49","27"
"Sterling Industrial Refrigeration","30439.54","23"
"ARC Mechanical","30072.45","23"
"Waltec Electrical Services LTD","29945.1","8"
"G.A. Enns Industrial Refrigeration","29572.14","7"
"American Refrigeration LLC","28118.28","34"
"Altmeyer Electric Inc","26856.01","2"
"Mueller & Wilson Inc","25443.4","5"
"Bassett Mechanical - Kaukauna","23833.16","43"
"All Temp Refrigeration","20377.75","5"
"TDI Refrigeration - Rancho Cucamonga","19002.55","19"
"Refrigeration Systems Construction & Service RSCS - Mesa","18868.82","8"
"York International Corporation - Ormond Beach","18842.88","11"
"RD&S - Refrig Design and Service","18558.81","48"
"HEB Facility Services - Houston","17079.78","11"
"SHAMBAUGH & SON - CORPORATE","17005.6","9"
"Bama Foods","16462","6"
"Amazon (DLI5) - Pontoon Beach","15643","2"
"Colmac Coil Manufacturing - Paxton","15063.49","8"
"Uni-Temp Refrigeration","14827.38","57"
"Startec Refrigeration","14548.8","12"
"PermaCold - Portland","14468.07","10"
"CenTrio Energy","14207","4"
"Lineage Logistics - Oxnard","13976","3"
"Preston Refrigeration","13846.72","20"
"Ammonia Refrigeration Inc - South Sioux City","13807","7"
"Wayne Farms LLC - Plugs - Decatur","13737","3"
"Act Co. Ltd - Jisu Park","13728.04","5"
"Energy Mgmt Consultants-EMC","13706.75","3"
"Nestle Frozen Food - Gaffney","13698.81","4"
"Tyson - (FM) Logansport","13537.4","4"
"AMS Mechanical Systems, Inc","13311.05","14"
"Dover Corporation **FRAUDULENT ACCOUNT**","13180.73","4"
"HEB Facility Services - San Antonio","12734.61","14"
"Americold Logistics - 2115 - Modesto","12690.29","5"
"RMS - Refrigerated Mechanical Solutions","12687.31","8"
"Innovative Refrigeration Systems Inc","12050.3","27"
"Trident Seafoods - Tacoma","11631.87","5"
